,down,yard,position,percent_run,aggression,epa
160,1.0,5.0,90.0,0.75,1.0,5.77
161,1.0,5.0,90.0,0.75,2.0,5.13
162,1.0,10.0,10.0,0.25,0.0,-0.29
163,1.0,10.0,10.0,0.25,1.0,0.18
164,1.0,10.0,10.0,0.25,2.0,-0.08
165,1.0,10.0,10.0,0.5,0.0,1.0
166,1.0,10.0,10.0,0.5,1.0,0.15
167,1.0,10.0,10.0,0.5,2.0,0.54
168,1.0,10.0,10.0,0.75,0.0,1.0
169,1.0,10.0,10.0,0.75,1.0,1.09
170,1.0,10.0,10.0,0.75,2.0,0.53
171,1.0,10.0,20.0,0.25,0.0,1.02
172,1.0,10.0,20.0,0.25,1.0,0.7
173,1.0,10.0,20.0,0.25,2.0,0.7
174,1.0,10.0,20.0,0.5,0.0,1.01
175,1.0,10.0,20.0,0.5,1.0,0.63
176,1.0,10.0,20.0,0.5,2.0,0.99
177,1.0,10.0,20.0,0.75,0.0,1.28
178,1.0,10.0,20.0,0.75,1.0,0.96
179,1.0,10.0,20.0,0.75,2.0,1.12
180,1.0,10.0,30.0,0.25,0.0,2.31
181,1.0,10.0,30.0,0.25,1.0,1.44
182,1.0,10.0,30.0,0.25,2.0,1.12
183,1.0,10.0,30.0,0.5,0.0,1.31
184,1.0,10.0,30.0,0.5,1.0,1.36
185,1.0,10.0,30.0,0.5,2.0,1.63
186,1.0,10.0,30.0,0.75,0.0,0.53
187,1.0,10.0,30.0,0.75,1.0,1.75
188,1.0,10.0,30.0,0.75,2.0,1.77
189,1.0,10.0,40.0,0.25,0.0,1.89
190,1.0,10.0,40.0,0.25,1.0,1.05
191,1.0,10.0,40.0,0.25,2.0,1.82
192,1.0,10.0,40.0,0.5,0.0,2.16
193,1.0,10.0,40.0,0.5,1.0,2.11
194,1.0,10.0,40.0,0.5,2.0,2.05
195,1.0,10.0,40.0,0.75,0.0,2.35
196,1.0,10.0,40.0,0.75,1.0,2.83
197,1.0,10.0,40.0,0.75,2.0,2.38
198,1.0,10.0,50.0,0.25,0.0,4.14
199,1.0,10.0,50.0,0.25,1.0,2.94
200,1.0,10.0,50.0,0.25,2.0,2.7
201,1.0,10.0,50.0,0.5,0.0,2.69
202,1.0,10.0,50.0,0.5,1.0,3.33
203,1.0,10.0,50.0,0.5,2.0,2.23
204,1.0,10.0,50.0,0.75,0.0,2.49
205,1.0,10.0,50.0,0.75,1.0,2.28
206,1.0,10.0,50.0,0.75,2.0,2.52
207,1.0,10.0,60.0,0.25,0.0,4.12
208,1.0,10.0,60.0,0.25,1.0,2.56
209,1.0,10.0,60.0,0.25,2.0,2.94
210,1.0,10.0,60.0,0.5,0.0,3.15
211,1.0,10.0,60.0,0.5,1.0,3.2
212,1.0,10.0,60.0,0.5,2.0,3.91
213,1.0,10.0,60.0,0.75,0.0,4.07
214,1.0,10.0,60.0,0.75,1.0,3.86
215,1.0,10.0,60.0,0.75,2.0,3.45
216,1.0,10.0,70.0,0.25,0.0,4.75
217,1.0,10.0,70.0,0.25,1.0,4.65
218,1.0,10.0,70.0,0.25,2.0,4.1
